"","Group.1","Group.2","Group.3","weight_count"
"6710",1535,"Love! Valour! Compassion! (1997)","Romance",3.48543689320388
"7210",1554,"Pillow Book, The (1995)","Romance",3.47826086956522
"2751",3,"Grumpier Old Men (1995)","Romance",3.46924686192469
"3351",3554,"Love and Basketball (2000)","Romance",3.45378151260504
"4201",788,"Nutty Professor, The (1996)","Romance",3.44514767932489
"1215",1888,"Hope Floats (1998)","Romance",3.44405684754522
"3851",48,"Pocahontas (1995)","Romance",3.4229057591623
"3401",361,"It Could Happen to You (1994)","Romance",3.42164179104478
"2921",3155,"Anna and the King (1999)","Romance",3.41441441441441
"4281",85,"Angels and Insects (1995)","Romance",3.4020618556701
"3151",3422,"She's Gotta Have It (1986)","Romance",3.4
"1814",2369,"Desperately Seeking Susan (1985)","Romance",3.39797619047619
"3471",3684,"Fabulous Baker Boys, The (1989)","Romance",3.37430167597765
"3441",362,"Jungle Book, The (1994)","Romance",3.36401673640167
"2013",2496,"Blast from the Past (1999)","Romance",3.36388888888889
"1221",1894,"Six Days Seven Nights (1998)","Romance",3.34745222929936
"1373",2025,"Lolita (1997)","Romance",3.34389140271493
"2051",2506,"Other Sister, The (1999)","Romance",3.34355828220859
"3261",351,"Corrina, Corrina (1994)","Romance",3.34241245136187
"2571",289,"Only You (1994)","Romance",3.34177215189873
"4021",605,"One Fine Day (1996)","Romance",3.3141592920354
"1802",236,"French Kiss (1995)","Romance",3.30368098159509
"2442",2805,"Mickey Blue Eyes (1999)","Romance",3.29854910714286
"2971",3257,"Bodyguard, The (1992)","Romance",3.28833865814696
"3821",468,"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","Romance",3.27142857142857
"1523",2143,"Legend (1985)","Romance",3.27042253521127
"2532",2875,"Sommersby (1993)","Romance",3.25773195876289
"1792",2340,"Meet Joe Black (1998)","Romance",3.25290697674419
"2941",3206,"Against All Odds (1984)","Romance",3.24812030075188
"1231",1895,"Can't Hardly Wait (1998)","Romance",3.23856209150327
"2851",3099,"Shampoo (1975)","Romance",3.23809523809524
"1214",1100,"Days of Thunder (1990)","Romance",3.22821428571429
"1772",2331,"Living Out Loud (1998)","Romance",3.22346368715084
"10211",1735,"Great Expectations (1998)","Romance",3.20152091254753
"3161",3426,"Jungle Fever (1991)","Romance",3.1953488372093
"11311",1821,"Object of My Affection, The (1998)","Romance",3.19431279620853
"1933",2468,"Jumpin' Jack Flash (1986)","Romance",3.1855614973262
"884",1658,"Life Less Ordinary, A (1997)","Romance",3.17241379310345
"4411",140,"Up Close and Personal (1996)","Romance",3.16546762589928
"4251",81,"Things to Do in Denver when You're Dead (1995)","Romance",3.16265060240964
"1714",2262,"About Last Night... (1986)","Romance",3.15644171779141
"3301",3528,"Prince of Tides, The (1991)","Romance",3.15576323987539
"3791",451,"Flesh and Bone (1993)","Romance",3.15094339622642
"3181",3452,"Romeo Must Die (2000)","Romance",3.14199395770393
"605",1498,"Inventing the Abbotts (1997)","Romance",3.13740458015267
"1442",207,"Walk in the Clouds, A (1995)","Romance",3.1324200913242
"1541",2146,"St. Elmo's Fire (1985)","Romance",3.11079545454545
"5110",1457,"Fools Rush In (1997)","Romance",3.10902255639098
"3801",46,"How to Make an American Quilt (1995)","Romance",3.10843373493976
"1751",2297,"What Dreams May Come (1998)","Romance",3.10704225352113
"688",1541,"Addicted to Love (1997)","Romance",3.1
"2671",2942,"Flashdance (1983)","Romance",3.09944751381215
"4121",691,"Mrs. Winterbourne (1996)","Romance",3.09917355371901
"2433",2802,"Tequila Sunrise (1988)","Romance",3.08823529411765
"389",1353,"Mirror Has Two Faces, The (1996)","Romance",3.08510638297872
"2452",2822,"Medicine Man (1992)","Romance",3.04942965779468
"8210",1629,"MatchMaker, The (1997)","Romance",3.01834862385321
"396",550,"Threesome (1994)","Romance",3.01685393258427
"1763",2316,"Practical Magic (1998)","Romance",2.98305084745763
"4231",804,"She's the One (1996)","Romance",2.97854077253219
"4171",74,"Bed of Roses (1996)","Romance",2.975
"1822",237,"Forget Paris (1995)","Romance",2.9727626459144
"3501",3705,"Bird on a Wire (1990)","Romance",2.97184210526316
"928",168,"First Knight (1995)","Romance",2.95027624309392
"3571",378,"Speechless (1994)","Romance",2.89285714285714
"1851",239,"Goofy Movie, A (1995)","Romance",2.875
"1722",2266,"Butcher's Wife, The (1991)","Romance",2.87179487179487
"783",1593,"Picture Perfect (1997)","Romance",2.8641975308642
"2731",2978,"Three to Tango (1999)","Romance",2.84466019417476
"1109",1043,"To Gillian on Her 37th Birthday (1996)","Romance",2.84259259259259
"1322",195,"Something to Talk About (1995)","Romance",2.84146341463415
"2022",2497,"Message in a Bottle (1999)","Romance",2.83529411764706
"3631",3834,"Bronco Billy (1980)","Romance",2.82386363636364
"3171",3436,"Dying Young (1991)","Romance",2.7890625
"1562",2154,"How Stella Got Her Groove Back (1998)","Romance",2.78571428571429
"2562",2888,"Drive Me Crazy (1999)","Romance",2.78151260504202
"2213",122,"Boomerang (1992)","Romance",2.7680412371134
"3381",3584,"Breathless (1983)","Romance",2.76744186046512
"2233",2629,"Love Letter, The (1999)","Romance",2.75
"2091",2558,"Forces of Nature (1999)","Romance",2.74468085106383
"2002",2491,"Simply Irresistible (1999)","Romance",2.73913043478261
"1703",2259,"Blame It on Rio (1984)","Romance",2.71641791044776
"2391",276,"Milk Money (1994)","Romance",2.69298245614035
"2951",3225,"Down to You (2000)","Romance",2.68852459016393
"3121",3394,"Blind Date (1987)","Romance",2.67142857142857
"1831",2385,"Home Fries (1998)","Romance",2.57534246575342
"5410",1468,"Booty Call (1997)","Romance",2.5625
"2761",3004,"Bachelor, The (1999)","Romance",2.48015873015873
"6110",15,"Cutthroat Island (1995)","Romance",2.45890410958904
"3431",3616,"Loser (2000)","Romance",2.45652173913043
"495",1453,"Beautician and the Beast, The (1997)","Romance",2.43243243243243
"2133",258,"Kid in King Arthur's Court, A (1995)","Romance",2.42361111111111
"3741",427,"Boxing Helena (1993)","Romance",2.36746987951807
"2702",2950,"Blue Lagoon, The (1980)","Romance",2.33236994219653
"2591",2906,"Random Hearts (1999)","Romance",2.328
"735",1556,"Speed 2: Cruise Control (1997)","Romance",2.15272479564033
"3621",3824,"Autumn in New York (2000)","Romance",2.12820512820513
"4112",1381,"Grease 2 (1982)","Romance",1.96369636963696
"9516",904,"Rear Window (1954)","Mystery",5.14761904761905
"5104",1212,"Third Man, The (1949)","Mystery",5.11989583333333
"9817",913,"Maltese Falcon, The (1941)","Mystery",5.05536912751678
"8105",1252,"Chinatown (1974)","Mystery",4.99012658227848
"11100",1284,"Big Sleep, The (1946)","Mystery",4.95924214417745
"9417",903,"Vertigo (1958)","Mystery",4.91386740331492
"7817",3730,"Conversation, The (1974)","Mystery",4.88686534216335
"2136",1617,"L.A. Confidential (1997)","Mystery",4.85231643356643
"10102",1269,"Arsenic and Old Lace (1944)","Mystery",4.79337797619048
"9217",800,"Lone Star (1996)","Mystery",4.69492063492063
"9917",924,"2001: A Space Odyssey (1968)","Mystery",4.67907925407925
"5518",2686,"Red Violin, The (Le Violon rouge) (1998)","Mystery",4.55660377358491
"2229",1625,"Game, The (1997)","Mystery",4.50090702947846
"6517",3044,"Dead Again (1991)","Mystery",4.43430531732418
"3925",2076,"Blue Velvet (1986)","Mystery",4.32744648318043
"7316",3386,"JFK (1991)","Mystery",4.31858465608466
"2927",1732,"Big Lebowski, The (1998)","Mystery",4.29913400182315
"10220",950,"Thin Man, The (1934)","Mystery",4.23972602739726
"8016",3801,"Anatomy of a Murder (1959)","Mystery",4.23115577889447
"10116",942,"Laura (1944)","Mystery",4.20205479452055
"4425",2208,"Lady Vanishes, The (1938)","Mystery",4.18592964824121
"9717",911,"Charade (1963)","Mystery",4.18300653594771
"3619",1950,"In the Heat of the Night (1967)","Mystery",4.12931034482759
"7517",3476,"Jacob's Ladder (1990)","Mystery",4.11551724137931
"9615",906,"Gaslight (1944)","Mystery",4.09625668449198
"2130",1086,"Dial M for Murder (1954)","Mystery",4.07915567282322
"3126",1092,"Basic Instinct (1992)","Mystery",4.07323568575233
"9104",1264,"Diva (1981)","Mystery",4.05447470817121
"6819",3176,"Talented Mr. Ripley, The (1999)","Mystery",4.02888805409466
"3424",1909,"X-Files: Fight the Future, The (1998)","Mystery",4.01691767068273
"4317",2206,"Suspicion (1941)","Mystery",4.01197604790419
"3220",1805,"Wild Things (1998)","Mystery",3.96253993610224
"2620",1645,"Devil's Advocate, The (1997)","Mystery",3.95121065375303
"8815",648,"Mission: Impossible (1996)","Mystery",3.94780615586117
"4720",2311,"2010 (1984)","Mystery",3.92957446808511
"1928",1597,"Conspiracy Theory (1997)","Mystery",3.91652281134402
"7716",3706,"Angel Heart (1987)","Mystery",3.91462053571429
"10016",931,"Spellbound (1945)","Mystery",3.9126213592233
"5119",2467,"Name of the Rose, The (1986)","Mystery",3.90123456790123
"7616",350,"Client, The (1994)","Mystery",3.90106796116505
"3017",1754,"Fallen (1998)","Mystery",3.89458762886598
"3323",1892,"Perfect Murder, A (1998)","Mystery",3.87730673316708
"6105",123,"Chungking Express (1994)","Mystery",3.8695652173913
"1727",1589,"Cop Land (1997)","Mystery",3.86371951219512
"1358",1459,"Absolute Power (1997)","Mystery",3.86157894736842
"3523",1913,"Picnic at Hanging Rock (1975)","Mystery",3.82634730538922
"7916",3788,"Blowup (1966)","Mystery",3.80894308943089
"3717",1964,"Klute (1971)","Mystery",3.80794701986755
"2829",1711,"Midnight in the Garden of Good and Evil (1997)","Mystery",3.74116242038217
"4916",2413,"Clue (1985)","Mystery",3.73555304740406
"8315",492,"Manhattan Murder Mystery (1993)","Mystery",3.71940298507463
"1625",1484,"Daytrippers, The (1996)","Mystery",3.70161290322581
"8516",517,"Rising Sun (1993)","Mystery",3.65170157068063
"5419",2583,"Cookie's Fortune (1999)","Mystery",3.60851063829787
"4128",2184,"Trouble with Harry, The (1955)","Mystery",3.59863945578231
"2426",164,"Devil in a Blue Dress (1995)","Mystery",3.56728232189974
"5015",2414,"Young Sherlock Holmes (1985)","Mystery",3.39050131926121
"6919",3251,"Agnes of God (1985)","Mystery",3.3804347826087
"1540",1464,"Lost Highway (1997)","Mystery",3.35172413793103
"3820",2024,"Rapture, The (1991)","Mystery",3.31756756756757
"5216",2475,"52 Pick-Up (1986)","Mystery",3.3
"6216",2875,"Sommersby (1993)","Mystery",3.25773195876289
"1200",1018,"That Darn Cat! (1965)","Mystery",3.2520325203252
"5315",257,"Just Cause (1995)","Mystery",3.2280701754386
"7417",3445,"Eyes of Laura Mars (1978)","Mystery",3.19424460431655
"9017",695,"True Crime (1995)","Mystery",3.17777777777778
"4026",2126,"Snake Eyes (1998)","Mystery",3.15727272727273
"2728",1689,"Man Who Knew Too Little, The (1997)","Mystery",3.1547619047619
"8218",451,"Flesh and Bone (1993)","Mystery",3.15094339622642
"7117",3273,"Scream 3 (2000)","Mystery",3.14306759098787
"2325",1627,"U Turn (1997)","Mystery",3.076
"2525",1644,"I Know What You Did Last Summer (1997)","Mystery",3.02631578947368
"1270",1422,"Murder at 1600 (1997)","Mystery",3.02491103202847
"7016",3262,"Twin Peaks: Fire Walk with Me (1992)","Mystery",2.96932515337423
"5717",2752,"Outrageous Fortune (1987)","Mystery",2.96216216216216
"3127",1783,"Palmetto (1998)","Mystery",2.92727272727273
"1826",1590,"Event Horizon (1997)","Mystery",2.89578313253012
"6316",2898,"Dark Half, The (1993)","Mystery",2.74509803921569
"2028",160,"Congo (1995)","Mystery",2.57477876106195
"8118",427,"Boxing Helena (1993)","Mystery",2.36746987951807
"4818",2338,"I Still Know What You Did Last Summer (1998)","Mystery",2.20338983050847
"10219",899,"Singin' in the Rain (1952)","Musical",4.92616511318242
"10812",919,"Wizard of Oz, The (1939)","Musical",4.88515715948778
"2027",1288,"This Is Spinal Tap (1984)","Musical",4.80675313059034
"10614",914,"My Fair Lady (1964)","Musical",4.77720125786163
"5314",2300,"Producers, The (1968)","Musical",4.76603343465046
"3420",1947,"West Side Story (1961)","Musical",4.6664914586071
"5716",2565,"King and I, The (1956)","Musical",4.54744623655914
"1825",1220,"Blues Brothers, The (1980)","Musical",4.53053691275168
"8104",1035,"Sound of Music, The (1965)","Musical",4.52176870748299
"1927",1282,"Fantasia (1940)","Musical",4.49024390243902
"7416",3545,"Cabaret (1972)","Musical",4.48837471783296
"3109",1028,"Mary Poppins (1964)","Musical",4.47828882294758
"6117",2863,"Hard Day's Night, A (1964)","Musical",4.4734555984556
"9614",595,"Beauty and the Beast (1991)","Musical",4.46872641509434
"8415",364,"Lion King, The (1994)","Musical",4.43996431757359
"10316",900,"American in Paris, An (1951)","Musical",4.42900874635568
"9515",594,"Snow White and the Seven Dwarfs (1937)","Musical",4.4221494102228
"3924",2078,"Jungle Book, The (1967)","Musical",4.38870481927711
"6918",3159,"Fantasia 2000 (1999)","Musical",4.3766004415011
"4025",2080,"Lady and the Tramp (1955)","Musical",4.37505787037037
"9416",588,"Aladdin (1992)","Musical",4.35655070318283
"4127",2081,"Little Mermaid, The (1989)","Musical",4.32
"1190",1022,"Cinderella (1950)","Musical",4.31897746967071
"9316",551,"Nightmare Before Christmas, The (1993)","Musical",4.27555220883534
"4719",2096,"Sleeping Beauty (1959)","Musical",4.26692759295499
"7103",1032,"Alice in Wonderland (1951)","Musical",4.25171428571428
"6013",2857,"Yellow Submarine (1968)","Musical",4.25125313283208
"4107",1029,"Dumbo (1941)","Musical",4.24163732394366
"4420",2087,"Peter Pan (1953)","Musical",4.20892255892256
"2129",1298,"Pink Floyd - The Wall (1982)","Musical",4.18695090439276
"10101",1066,"Shall We Dance? (1937)","Musical",4.16571428571429
"1350",1081,"Victor/Victoria (1982)","Musical",4.16013824884793
"11116",945,"Top Hat (1935)","Musical",4.14741035856574
"2228",1380,"Grease (1978)","Musical",4.11438188494492
"5517",2394,"Prince of Egypt, The (1998)","Musical",4.10742659758204
"9816",661,"James and the Giant Peach (1996)","Musical",3.98447619047619
"8117",3606,"On the Town (1949)","Musical",3.94082840236686
"10516",907,"Gay Divorcee, The (1934)","Musical",3.92380952380952
"5418",2303,"Nashville (1975)","Musical",3.92
"1726",1093,"Doors, The (1991)","Musical",3.91845588235294
"6718",3061,"Holiday Inn (1942)","Musical",3.88
"5914",2746,"Little Shop of Horrors (1986)","Musical",3.8321047008547
"8515",3675,"White Christmas (1954)","Musical",3.82656826568266
"6617",2971,"All That Jazz (1979)","Musical",3.82334384858044
"9117",3910,"Dancer in the Dark (2000)","Musical",3.82
"9916",73,"Misérables, Les (1995)","Musical",3.81696428571429
"3618",199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)","Musical",3.81196581196581
"1620",1088,"Dirty Dancing (1987)","Musical",3.80822416302766
"10716",918,"Meet Me in St. Louis (1944)","Musical",3.79365079365079
"7516",3549,"Guys and Dolls (1955)","Musical",3.79230769230769
"5816",2657,"Rocky Horror Picture Show, The (1975)","Musical",3.78483373884834
"6516",2946,"Help! (1965)","Musical",3.77319587628866
"2727",1566,"Hercules (1997)","Musical",3.77121535181237
"10015",783,"Hunchback of Notre Dame, The (1996)","Musical",3.70653846153846
"7915",3604,"Gypsy (1962)","Musical",3.69672131147541
"3522",1951,"Oliver! (1968)","Musical",3.69483568075117
"10417",901,"Funny Face (1957)","Musical",3.64367816091954
"7615",3599,"Anchors Aweigh (1945)","Musical",3.63106796116505
"11018",938,"Gigi (1958)","Musical",3.62032085561497
"6417",2941,"South Pacific (1958)","Musical",3.61428571428571
"4220",2083,"Muppet Christmas Carol, The (1992)","Musical",3.60687022900763
"4817",2099,"Song of the South (1946)","Musical",3.60180995475113
"9103",1057,"Everyone Says I Love You (1996)","Musical",3.55839416058394
"1448",1083,"Great Race, The (1965)","Musical",3.53048780487805
"7315",346,"Backbeat (1993)","Musical",3.525
"2828",1688,"Anastasia (1997)","Musical",3.50328947368421
"6104",1031,"Bedknobs and Broomsticks (1971)","Musical",3.47962382445141
"9216",48,"Pocahontas (1995)","Musical",3.4229057591623
"4915",2102,"Steamboat Willie (1940)","Musical",3.38578680203046
"6818",3142,"U2: Rattle and Hum (1988)","Musical",3.38461538461538
"2425",1416,"Evita (1996)","Musical",3.25531914893617
"2128",1024,"Three Caballeros, The (1945)","Musical",3.24603174603175
"5014",2135,"Doctor Dolittle (1967)","Musical",3.20168067226891
"1260",107,"Muppet Treasure Island (1996)","Musical",3.1484375
"5103",1030,"Pete's Dragon (1977)","Musical",3.07739938080495
"8615",3725,"American Pop (1981)","Musical",3.07142857142857
"2524",1487,"Selena (1997)","Musical",3.0679012345679
"6215",2877,"Tommy (1975)","Musical",3.01421800947867
"7116",327,"Tank Girl (1995)","Musical",3.00670391061453
"3716",2017,"Babes in Toyland (1961)","Musical",2.98765432098765
"4517",2088,"Popeye (1980)","Musical",2.98365180467091
"7715",3600,"Blue Hawaii (1961)","Musical",2.82644628099174
"4618",2092,"Return of Jafar, The (1993)","Musical",2.43558282208589
"3016",1772,"Blues Brothers 2000 (1998)","Musical",2.4304347826087
"10115",829,"Joe's Apartment (1996)","Musical",2.29007633587786
"2324",1381,"Grease 2 (1982)","Musical",1.96369636963696
"2926",1760,"Spice World (1997)","Musical",1.87368421052632
"1329",1278,"Young Frankenstein (1974)","Horror",4.8882229673093
"8102",1219,"Psycho (1960)","Horror",4.85130641330166
"6101",1214,"Alien (1979)","Horror",4.78352272727273
"1174",1258,"Shining, The (1980)","Horror",4.72060717571297
"4315",1387,"Jaws (1975)","Horror",4.70300530347672
"1696",2648,"Frankenstein (1931)","Horror",4.57167487684729
"9314",1997,"Exorcist, The (1973)","Horror",4.5493220338983
"1795",2664,"Invasion of the Body Snatchers (1956)","Horror",4.49928343949045
"1835",2716,"Ghostbusters (1984)","Horror",4.49138010087116
"2719",1333,"Birds, The (1963)","Horror",4.46507503410641
"1230",1261,"Evil Dead II (Dead By Dawn) (1987)","Horror",4.40063868613139
"2536",3499,"Misery (1990)","Horror",4.39966063348416
"11113",2160,"Rosemary's Baby (1968)","Horror",4.39164325842697
"7100",1215,"Army of Darkness (1993)","Horror",4.37486772486772
"1176",2288,"Thing, The (1982)","Horror",4.35323886639676
"1520",1321,"American Werewolf in London, An (1981)","Horror",4.31511839708561
"7814",1982,"Halloween (1978)","Horror",4.27045454545455
"10216",2118,"Dead Zone, The (1983)","Horror",4.25785123966942
"9015",1994,"Poltergeist (1982)","Horror",4.23691823899371
"2603",3576,"Hidden, The (1987)","Horror",4.23556338028169
"3392",968,"Night of the Living Dead (1968)","Horror",4.22202797202797
"12211",2366,"King Kong (1933)","Horror",4.20449735449735
"4120",1350,"Omen, The (1976)","Horror",4.16699266503667
"3615",1345,"Carrie (1976)","Horror",4.14567901234568
"2482",3476,"Jacob's Ladder (1990)","Horror",4.11551724137931
"4616",1407,"Scream (1996)","Horror",4.11196388261851
"3274",610,"Heavy Metal (1981)","Horror",4.0789644012945
"1497",253,"Interview with the Vampire (1994)","Horror",4.0530487804878
"2284",3081,"Sleepy Hollow (1999)","Horror",4.04441838649156
"3817",1347,"Nightmare on Elm Street, A (1984)","Horror",4.00842572062084
"11316",2167,"Blade (1998)","Horror",3.9987021013597
"2225",3018,"Re-Animator (1985)","Horror",3.99717741935484
"3918",1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)","Horror",3.99159663865546
"13210",2455,"Fly, The (1986)","Horror",3.95681605975724
"5117",1645,"Devil's Advocate, The (1997)","Horror",3.95121065375303
"2065",2867,"Fright Night (1985)","Horror",3.94983660130719
"3319",1340,"Bride of Frankenstein (1935)","Horror",3.91203703703704
"13111",2454,"Fly, The (1958)","Horror",3.86208333333333
"3343",799,"Frighteners, The (1996)","Horror",3.85147928994083
"3217",1339,"Bram Stoker's Dracula (1992)","Horror",3.8453125
"1888",2746,"Little Shop of Horrors (1986)","Horror",3.8321047008547
"1655",2644,"Dracula (1931)","Horror",3.82773109243697
"1585",2617,"Mummy, The (1999)","Horror",3.82000993048659
"1895",2747,"Little Shop of Horrors, The (1960)","Horror",3.80856741573034
"1786",2657,"Rocky Horror Picture Show, The (1975)","Horror",3.78483373884834
"1753",2654,"Wolf Man, The (1941)","Horror",3.76119402985075
"9610",2003,"Gremlins (1984)","Horror",3.75824742268041
"3124",3932,"Invisible Man, The (1933)","Horror",3.75
"2833",3727,"Near Dark (1987)","Horror",3.70945945945946
"1346",2459,"Texas Chainsaw Massacre, The (1974)","Horror",3.70607287449393
"2543",3535,"American Psycho (2000)","Horror",3.70190476190476
"2119",2901,"Phantasm (1979)","Horror",3.68348484848485
"2204",3016,"Creepshow (1982)","Horror",3.63266219239374
"2025",2826,"13th Warrior, The (1999)","Horror",3.63246666666667
"3294",70,"From Dusk Till Dawn (1996)","Horror",3.62992341356674
"2820",1334,"Blob, The (1958)","Horror",3.60650887573964
"3052",3917,"Hellraiser (1987)","Horror",3.57777777777778
"1565",2613,"Night of the Comet (1984)","Horror",3.56049822064057
"2343",3264,"Buffy the Vampire Slayer (1992)","Horror",3.55556640625
"3303",724,"Craft, The (1996)","Horror",3.54951923076923
"3222",426,"Body Snatchers (1993)","Horror",3.54405204460967
"1594",2633,"Mummy, The (1932)","Horror",3.53703703703704
"2153",2976,"Bringing Out the Dead (1999)","Horror",3.53258527827648
"14613",2517,"Christine (1983)","Horror",3.52161172161172
"3243",532,"Serial Mom (1994)","Horror",3.50616966580977
"1935",2782,"Pit and the Pendulum (1961)","Horror",3.50467289719626
"15110",2550,"Haunting, The (1963)","Horror",3.50273224043716
"7013",1974,"Friday the 13th (1980)","Horror",3.49716088328076
"1437",1320,"Alien³ (1992)","Horror",3.49351351351351
"9914",2097,"Something Wicked This Way Comes (1983)","Horror",3.48826291079812
"1818",2710,"Blair Witch Project, The (1999)","Horror",3.48625707356508
"11016",2159,"Henry: Portrait of a Serial Killer (1990)","Horror",3.47945205479452
"2635",3627,"Carnival of Souls (1962)","Horror",3.47663551401869
"2754",3676,"Eraserhead (1977)","Horror",3.46733668341709
"2893",3785,"Scary Movie (2000)","Horror",3.46313213703099
"3094",3928,"Abbott and Costello Meet Frankenstein (1948)","Horror",3.44174757281553
"2553",3550,"Hunger, The (1983)","Horror",3.43125
"28110",3708,"Firestarter (1984)","Horror",3.42846441947566
"5514",1717,"Scream 2 (1997)","Horror",3.4221978021978
"14210",2513,"Pet Sematary (1989)","Horror",3.40475409836066
"5312",1690,"Alien: Resurrection (1997)","Horror",3.40275994865212
"2118",1327,"Amityville Horror, The (1979)","Horror",3.3787323943662
"2902",382,"Wolf (1994)","Horror",3.37389705882353
"33110",735,"Cemetery Man (Dellamorte Dellamore) (1994)","Horror",3.35643564356436
"1528",2553,"Village of the Damned (1960)","Horror",3.35616438356164
"1664",2645,"Dracula (1958)","Horror",3.34313725490196
"1845",2717,"Ghostbusters II (1989)","Horror",3.34212389380531
"3518",1342,"Candyman (1992)","Horror",3.34026717557252
"1864",273,"Mary Shelley's Frankenstein (1994)","Horror",3.33217213114754
"3105",1130,"Howling, The (1980)","Horror",3.25974025974026
"3106",3930,"Creature From the Black Lagoon, The (1954)","Horror",3.25560538116592
"6413",196,"Species (1995)","Horror",3.24718181818182
"2673",366,"Wes Craven's New Nightmare (1994)","Horror",3.24382470119522
"6114",188,"Prophecy, The (1995)","Horror",3.22105263157895
"12711",2428,"Faculty, The (1998)","Horror",3.19444444444444
"3715",1346,"Cat People (1982)","Horror",3.18390804597701
"1537",2554,"Children of the Damned (1963)","Horror",3.17647058823529
"12310",2367,"King Kong (1976)","Horror",3.17087378640777
"2004",2793,"American Werewolf in Paris, An (1997)","Horror",3.16792452830189
"2354",3273,"Scream 3 (2000)","Horror",3.14306759098787
"10513",2121,"Cujo (1983)","Horror",3.14020408163265
"1545",2560,"Ravenous (1999)","Horror",3.11111111111111
"2364",328,"Tales From the Crypt Presents: Demon Knight (1995)","Horror",3.11111111111111
"1267",2389,"Psycho (1998)","Horror",3.04924242424242
"6614",1970,"Nightmare on Elm Street 3: Dream Warriors, A (1987)","Horror",3.03805970149254
"6313",1924,"Plan 9 from Outer Space (1958)","Horror",3.02971887550201
"5012",1644,"I Know What You Did Last Summer (1997)","Horror",3.02631578947368
"2419",1330,"April Fool's Day (1986)","Horror",3
"1985",2789,"Damien: Omen II (1978)","Horror",2.99393939393939
"4417",1388,"Jaws 2 (1978)","Horror",2.97756756756757
"1257",2377,"Lifeforce (1985)","Horror",2.94535519125683
"10414",2120,"Needful Things (1993)","Horror",2.94214876033058
"2107",1128,"Fog, The (1980)","Horror",2.92352941176471
"2919",3826,"Hollow Man (2000)","Horror",2.91901234567901
"1805",2668,"Swamp Thing (1982)","Horror",2.91501831501831
"3218",407,"In the Mouth of Madness (1995)","Horror",2.9119170984456
"2617",1332,"Believers, The (1987)","Horror",2.91176470588235
"1975",2787,"Cat's Eye (1985)","Horror",2.90123456790123
"9714",2004,"Gremlins 2: The New Batch (1990)","Horror",2.89045698924731
"10713",2148,"House (1986)","Horror",2.8855421686747
"1823",2713,"Lake Placid (1999)","Horror",2.87636579572447
"3233",512,"Robert A. Heinlein's The Puppet Masters (1994)","Horror",2.87150837988827
"2685",3660,"Puppet Master (1989)","Horror",2.85987261146497
"1208",2328,"Vampires (1998)","Horror",2.84971098265896
"3373",879,"Relic, The (1997)","Horror",2.82700421940928
"3062",3918,"Hellbound: Hellraiser II (1988)","Horror",2.80239520958084
"7912",1983,"Halloween II (1981)","Horror",2.75384615384615
"9513",1999,"Exorcist III, The (1990)","Horror",2.74803149606299
"2093",2898,"Dark Half, The (1993)","Horror",2.74509803921569
"1855",2719,"Haunting, The (1999)","Horror",2.73970588235294
"5714",1762,"Deep Rising (1998)","Horror",2.73568281938326
"5812",177,"Lord of Illusions (1995)","Horror",2.73381294964029
"2395",330,"Tales from the Hood (1995)","Horror",2.73154362416107
"1558",2606,"Idle Hands (1999)","Horror",2.72463768115942
"11612",2279,"Urban Legend (1998)","Horror",2.71681415929204
"8713",1991,"Child's Play (1988)","Horror",2.70292887029289
"2774",3693,"Toxic Avenger, The (1985)","Horror",2.6978021978022
"9813",2026,"Disturbing Behavior (1998)","Horror",2.68944099378882
"10010",2107,"Halloween: H20 (1998)","Horror",2.68844221105528
"2108",2900,"Monkey Shines (1988)","Horror",2.6832298136646
"6513",1969,"Nightmare on Elm Street Part 2: Freddy's Revenge, A (1985)","Horror",2.66934306569343
"1338",2456,"Fly II, The (1989)","Horror",2.66038732394366
"2183",2995,"House on Haunted Hill, The (1999)","Horror",2.65410557184751
"12912",2451,"Gate, The (1987)","Horror",2.64601769911504
"11213",2163,"Attack of the Killer Tomatoes! (1980)","Horror",2.60679611650485
"3364",842,"Tales from the Crypt Presents: Bordello of Blood (1996)","Horror",2.58940397350993
"3085",3923,"Return of the Fly (1959)","Horror",2.57692307692308
"24110",332,"Village of the Damned (1995)","Horror",2.54658385093168
"2983",3840,"Pumpkinhead (1988)","Horror",2.54464285714286
"12112",2338,"I Still Know What You Did Last Summer (1998)","Horror",2.53389830508475
"2218",3017,"Creepshow 2 (1987)","Horror",2.52884615384615
"3322",742,"Thinner (1996)","Horror",2.52873563218391
"3283",611,"Hellraiser: Bloodline (1996)","Horror",2.47222222222222
"10612",2122,"Children of the Corn (1984)","Horror",2.44635193133047
"7113",1975,"Friday the 13th Part 2 (1981)","Horror",2.42690058479532
"9115",1995,"Poltergeist II: The Other Side (1986)","Horror",2.42307692307692
"2124",2902,"Psycho II (1983)","Horror",2.42073170731707
"8113",1985,"Halloween 4: The Return of Michael Myers (1988)","Horror",2.41085271317829
"2824",3709,"Sleepwalkers (1992)","Horror",2.38938053097345
"1189",2315,"Bride of Chucky (1998)","Horror",2.36734693877551
"5100",12,"Dracula: Dead and Loving It (1995)","Horror",2.3625
